title,authors,link
Janus-Pro: Unified Multimodal Understanding and Generation with Data and Model Scaling,"Xiaokang Chen, Zhiyu Wu, Xingchao Liu, Zizheng Pan, Wen Liu, Zhenda Xie, Xingkai Yu, Chong Ruan",https://arxiv.org/abs/2501.17811
Using Code Generation to Solve Open Instances of Combinatorial Design Problems,Christopher D. Rosin,https://arxiv.org/abs/2501.17725
Inferring Implicit Goals Across Differing Task Models,"Silvia Tulli, Stylianos Loukas Vasileiou, Mohamed Chetouani, Sarath Sreedharan",https://arxiv.org/abs/2501.17704
"Solving Urban Network Security Games: Learning Platform, Benchmark, and Challenge for AI Research","Shuxin Zhuang, Shuxin Li, Tianji Yang, Muheng Li, Xianjie Shi, Bo An, Youzhi Zhang",https://arxiv.org/abs/2501.17559
"Reflections on ""Can AI Understand Our Universe?""",Yu Wang,https://arxiv.org/abs/2501.17507
SemML: Enhancing Automata-Theoretic LTL Synthesis with Machine Learning,"Jan Kretinsky, Tobias Meggendorfer, Maximilian Prokop, Ashkan Zarkhah",https://arxiv.org/abs/2501.17496
Certifying Pareto-Optimality in Multi-Objective Maximum Satisfiability,"Christoph Jabs, Jeremias Berg, Bart Bogaerts, Matti Järvisalo",https://arxiv.org/abs/2501.17493
Large Language Models for Single-Step and Multi-Step Flight Trajectory Prediction,"Kaiwei Luo, Jiliu Zhou",https://arxiv.org/abs/2501.17459
Intensional Inheritance Between Concepts: An Information-Theoretic Interpretation,Ben Goertzel,https://arxiv.org/abs/2501.17393
A sketch of an AI control safety case,"Tomek Korbak, Joshua Clymer, Benjamin Hilton, Buck Shlegeris, Geoffrey Irving",https://arxiv.org/abs/2501.17315
Probing LLM World Models: Enhancing Guesstimation with Wisdom of Crowds Decoding,"Yun-Shiuan Chuang, Nikunj Harlalka, Sameer Narendran, Alexander Cheung, Sizhe Gao, Siddharth Suresh, Junjie Hu, Timothy T. Rogers",https://arxiv.org/abs/2501.17310
From Natural Language to Extensive-Form Game Representations,"Shilong Deng, Yongzhao Wang, Rahul Savani",https://arxiv.org/abs/2501.17282
Integrating Reinforcement Learning and AI Agents for Adaptive Robotic Interaction and Assistance in Dementia Care,"Fengpei Yuan, Nehal Hasnaeen, Ran Zhang, Bryce Bible, Joseph Riley Taylor, Hairong Qi, Fenghui Yao, Xiaopeng Zhao",https://arxiv.org/abs/2501.17206
Smart Cubing for Graph Search: A Comparative Study,"Markus Kirchweger, Hai Xia, Tomáš Peitl, Stefan Szeider",https://arxiv.org/abs/2501.17201
"Letters, Colors, and Words: Constructing the Ideal Building Blocks Set","Ricardo Salazar, Shahrzad Jamshidi",https://arxiv.org/abs/2501.17188
Complete Chess Games Enable LLM Become A Chess Master,"Yinqi Zhang, Xintian Han, Haolong Li, Kedi Chen, Shaohui Lin",https://arxiv.org/abs/2501.17186
